Item Number,Part Name,Quantity Per Board,Supplier,Supplier Part #,Link,Price,Total Price
1,NRF52832-CIAA-R,1,Digikey,1490-1056-1-ND,https://www.digikey.com/product-detail/en/nordic-semiconductor-asa/NRF52832-CIAA-R/1490-1056-1-ND/6071168,5.91,19.45
2,ADXL362,1,Digikey,ADXL362BCCZ-RL7CT-ND,https://www.digikey.com/product-detail/en/analog-devices-inc/ADXL362BCCZ-RL7/ADXL362BCCZ-RL7CT-ND/3758437,10.5,
3,SMD Antenna W3008,1,Digikey,553-1530-1-ND,https://www.digikey.com/product-detail/en/pulselarsen-antennas/W3008/553-1530-1-ND/2362934,1.62,
4,Capacitor - 0.1uF,6,Digikey,478-5266-1-ND,https://www.digikey.com/product-detail/en/avx-corporation/02016D104KAT2A/478-5266-1-ND/1950933,0.1,
5,Capacitor - 100pF,1,Digikey,490-3160-1-ND,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM0335C1E101JA01D/490-3160-1-ND/702701,0.1,
6,Capacitor - 4.7uF,1,Digikey,1276-2087-1-ND,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL10B475KQ8NQNC/1276-2087-1-ND/3890173,0.1,
7,Capacitor - 0.8pF,1,Digikey,490-11253-1-ND,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GJM1555C1HR80WB01D/490-11253-1-ND/5333093,0.3,
8,Resistor - 10K Ohm,1,Digikey,311-10KJRCT-ND,https://www.digikey.com/product-detail/en/yageo/RC0402JR-0710KL/311-10KJRCT-ND/729365,0.1,
9,Inductor 3.9nH,1,Digikey,732-11258-1-ND,https://www.digikey.com/product-detail/en/wurth-electronics-inc/744917039/732-11258-1-ND/6833717,0.72,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,